"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2013","632.84","628.03","637.06","621.68","404.09K","0.98%"
"10/27/2013","626.68","636.33","640.34","622.09","408.22K","-1.54%"
"10/20/2013","636.48","633.26","638.31","628.90","328.90K","0.59%"
"10/13/2013","632.74","612.79","633.02","611.40","379.65K","2.80%"
"10/06/2013","615.48","604.79","615.48","590.16","337.66K","1.18%"
"09/29/2013","608.28","602.67","615.34","600.19","341.45K","0.28%"
"09/22/2013","606.61","604.90","611.05","600.72","288.85K","0.22%"
"09/15/2013","605.28","599.36","609.36","596.29","413.04K","1.66%"
"09/08/2013","595.37","582.57","597.37","582.57","263.25K","2.41%"
"09/01/2013","581.37","577.22","584.35","571.38","226.51K","1.49%"
"08/25/2013","572.82","589.05","591.41","572.04","265.18K","-2.67%"
"08/18/2013","588.53","579.78","588.87","575.08","286.82K","1.43%"
"08/11/2013","580.24","589.70","595.74","579.70","290.09K","-2.00%"
"08/04/2013","592.07","595.09","598.58","588.18","283.57K","-0.61%"
"07/28/2013","595.68","588.00","596.40","583.71","315.89K","1.19%"
"07/21/2013","588.67","589.76","593.77","584.93","283.81K","-0.27%"
"07/14/2013","590.25","584.39","591.61","582.93","277.64K","1.09%"
"07/07/2013","583.89","569.26","584.86","569.26","282.85K","2.77%"
"06/30/2013","568.15","552.48","568.15","552.48","209.05K","3.20%"
"06/23/2013","550.52","539.86","553.60","532.51","420.76K","1.33%"
"06/16/2013","543.27","554.30","562.58","536.51","407.84K","-1.40%"
"06/09/2013","550.98","555.25","557.34","545.39","249.53K","-0.56%"
"06/02/2013","554.11","552.97","558.70","542.04","336.97K","0.39%"
"05/26/2013","551.98","556.72","564.95","551.20","241.51K","-0.22%"
"05/19/2013","553.18","559.45","566.98","547.11","298.47K","-1.32%"
"05/12/2013","560.60","547.74","560.60","545.89","306.83K","2.19%"
"05/05/2013","548.58","535.26","548.59","535.26","269.26K","2.49%"
"04/28/2013","535.24","523.04","537.75","517.68","353.64K","2.34%"
"04/21/2013","523.00","510.86","528.99","503.44","304.78K","2.38%"
"04/14/2013","510.86","526.59","526.59","503.33","352.97K","-3.00%"
"04/07/2013","526.64","517.47","531.40","516.36","276.95K","1.77%"
"03/31/2013","517.47","531.38","531.39","510.47","301.22K","-2.62%"
"03/24/2013","531.38","528.62","533.06","525.29","214.59K","0.52%"
"03/17/2013","528.62","531.73","531.73","523.44","248.21K","-0.58%"
"03/10/2013","531.73","525.69","532.68","522.64","383.17K","1.14%"
"03/03/2013","525.72","512.40","525.76","507.69","302.66K","2.60%"
"02/24/2013","512.40","512.53","514.44","500.69","359.47K","-0.03%"
"02/17/2013","512.53","516.43","521.94","504.94","281.98K","-0.76%"
"02/10/2013","516.43","512.24","518.98","509.95","277.21K","0.82%"
"02/03/2013","512.24","509.43","512.71","502.45","278.44K","0.55%"
"01/27/2013","509.43","508.47","510.58","500.43","355.71K","0.19%"
"01/20/2013","508.47","500.06","508.47","499.41","239.51K","1.68%"
"01/13/2013","500.06","492.06","500.07","489.06","286.26K","1.63%"
"01/06/2013","492.06","492.62","492.86","487.24","266.52K","-0.11%"
"12/30/2012","492.62","467.41","493.33","466.88","263.65K","5.39%"
"12/23/2012","467.41","475.73","475.73","464.67","148.03K","-1.75%"
"12/16/2012","475.73","461.42","477.90","461.42","473.55K","3.11%"
"12/09/2012","461.40","462.14","469.63","460.53","249.21K","-0.16%"
"12/02/2012","462.14","462.22","464.41","458.81","251.91K","0.00%"
"11/25/2012","462.15","454.28","463.71","450.51","331.30K","1.73%"
"11/18/2012","454.28","437.83","454.29","437.83","162.40K","3.85%"
"11/11/2012","437.45","447.75","448.86","430.73","274.23K","-2.30%"
"11/04/2012","447.74","457.35","465.76","445.54","296.80K","-2.10%"
"10/28/2012","457.34","454.57","464.98","454.41","234.63K","0.64%"
"10/21/2012","454.44","458.71","459.21","451.53","284.14K","-0.95%"
"10/14/2012","458.80","458.35","469.14","456.87","309.21K","0.12%"
"10/07/2012","458.26","470.26","470.26","457.51","237.35K","-2.55%"
"09/30/2012","470.26","468.27","476.11","466.10","276.55K","0.48%"
"09/23/2012","468.00","477.58","478.71","464.80","295.48K","-2.11%"
"09/16/2012","478.10","485.66","485.66","474.12","393.56K","-1.56%"
"09/09/2012","485.66","473.97","488.00","472.51","275.93K","2.47%"
"09/02/2012","473.97","457.87","474.95","455.07","247.88K","3.51%"
"08/26/2012","457.91","455.93","461.98","454.47","221.73K","0.43%"
"08/19/2012","455.93","461.19","465.36","452.87","233.19K","-1.14%"
"08/12/2012","461.19","451.64","461.19","445.69","266.61K","2.11%"
"08/05/2012","451.65","444.23","453.96","444.23","286.07K","1.68%"
"07/29/2012","444.17","446.36","447.39","431.06","385.06K","-0.48%"
"07/22/2012","446.32","443.63","447.51","429.53","329.70K","0.61%"
"07/15/2012","443.63","447.38","451.58","441.57","319.07K","-0.84%"
"07/08/2012","447.38","448.69","451.46","434.97","346.34K","-0.30%"
"07/01/2012","448.71","445.44","455.82","443.13","225.32K","0.73%"
